106,台灣光子源綠能生醫旗艦計畫(1/4),能源
106,循環材料之高值化計畫(1/4),能源
106,綠能科技產學研鏈結計畫(1/1),能源
106,國家型科技計畫辦公室維運計畫(1/1),能源
106,能源國家型科技計畫-能源主軸與產業需求科技研究(4/5),能源
106,中部科學工業園區業務推展(1/1),能源
106,新竹科學工業園區業務推展(1/1),能源
106,能源國家型科技計畫—永續能源技術與策略發展應用計畫(2/3),能源
106,原子能系統工程跨域整合發展計畫(1/4),能源
106,核能電廠安全管制法規與技術研究計畫(2/4),能源
106,原子能科技學術合作研究計畫(1/1),能源
106,放射性廢棄物貯存與處置安全管制技術發展(2/4),能源
106,核能技術及核電廠除役之安全強化研究(3/4),能源
106,綠能科技深化研發與示範應用計畫(1/4),能源
106,農業資源循環暨農能共構之產業創新(1/4),能源
106,能源國家型科技計畫—新及再生能源技術研發(3/4),能源
106,106年度「業界能源科技研究發展計畫」(1/1),能源
106,106年度「再生能源開發與推廣計畫」(1/1),能源
106,能源國家型科技計畫—節約能源技術研發(3/4),能源
106,106年度「能源效率管理與節能技術推廣輔導」(1/1),能源
107,深度減碳，邁向永續社會(2/4),能源
107,產品碳足跡揭露服務計畫(碳足跡雲)(4/4),能源
107,創新低碳綠建築環境科技計畫(4/4),能源
107,潔能系統整合與應用人才培育計畫(1/4),能源
107,綠色循環與二氧化碳新碳源創新材料計畫(2/4),能源
107,能源國家型科技計畫-能源產業技術發展綱要計畫(5/5),能源
107,民生產業特用化學品開發與應用設備綱要計畫(1/4),能源
107,產業創新新材料開發計畫(1/4),能源
107,能源國家型科技計畫-再生能源產業推動計畫(2/2),能源
107,新世代化學材料產業輔導與推廣計畫(3/4),能源
107,智慧電動車輛產業推動計畫(4/4),能源
107,工業減碳領航計畫(2/4),能源
107,能源國家型科技計畫-產業溫室氣體減量推動計畫(5/5),能源
107,產業永續發展計畫(2/4),能源
107,材料與化工產業整合發展計畫(2/4),能源
107,再生能源憑證中心及檢測驗證發展計畫(2/4),能源
107,新興能源產品檢測標準與驗證技術計畫(2/2),能源
107,再生能源投(融)資第三方檢測驗證中心計畫(2/4),能源
107,服務業能源管理與技術輔導計畫(1/4),能源
107,離岸風場區塊開發海域環境建構計畫(2/4),能源
107,沙崙綠能科學城-綠能科技示範場域旗艦計畫(2/4),能源
107,沙崙綠能科學城-綠能科技產業化技術驗證平台(1/3),能源
107,區域性儲能設備技術示範驗證計畫(2/8),能源
107,低碳排放之無機聚合綠色水泥及混凝土製備研究(3/4),能源
107,低碳運輸系統發展計畫(4/4),能源
107,循環材料之高值化(2/4),能源
107,綠能科技創新研究與服務平台計畫(2/4),能源
107,科學城低碳智慧環境基礎建置－科技計畫部份(2/5),能源
107,重點產業高階人才培訓與就業計畫(2/5),能源
107,國家型科技計畫辦公室維運計畫(1/1),能源
107,能源國家型科技計畫-能源主軸與產業需求科技研究(5/5),能源
107,台灣光子源綠能生醫旗艦計畫(2/4),能源
107,中部科學工業園區業務推展計畫(1/1),能源
107,原子能系統工程跨域整合發展計畫(2/4),能源
107,核能技術及核電廠除役之安全強化研究(4/4),能源
107,原子能科技學術合作研究計畫(1/1),能源
107,放射性廢棄物貯存與處置安全管制技術發展(3/4),能源
107,永續能源技術與策略發展應用計畫(3/3),能源
107,核能電廠安全管制法規與技術研究計畫(3/4),能源
107,綠能科技深化研發與示範應用計畫(2/4),能源
107,農業資源循環暨農能共構之產業創新(2/4),能源
107,能源國家型科技計畫—新及再生能源技術研發(4/4),能源
107,107年度「業界能源科技研究發展計畫」(1/1),能源
107,107年度「再生能源開發與推廣計畫」(1/1),能源
107,能源國家型科技計畫—節約能源技術研發(4/4),能源
107,107年度「能源效率管理與節能技術推廣輔導」(1/1),能源
108,中研院南部院區鋰電池儲能系統開發與新世代全固態電池材料研發計畫(1/2),能源
108,深度減碳，邁向永續社會(3/4),能源
108,綠色採購躍升計畫(1/4),能源
108,創新循環綠建築環境科技計畫(1/4),能源
108,潔能系統整合與應用人才培育計畫(2/4),能源
108,創新前瞻技術研究綱要計畫(1/4),能源
108,產業創新新材料開發計畫(2/4),能源
108,綠色循環與二氧化碳新碳源創新材料計畫(3/4),能源
108,能源產業技術研發暨標準檢測與產業能效提升推動計畫(1/4),能源
108,民生產業特用化學品開發與關鍵製程應用技術綱要計畫(民生產業特用化學品開發與應用設備綱要計畫)(2/4),能源
108,產業循環經濟創新領導計畫(1/4),能源
108,綠能科技產業推動發展計畫(1/4),能源
108,產業永續發展計畫(3/4),能源
108,綠能產業升級轉型推動計畫(1/4),能源
108,工業減碳領航計畫(3/4),能源
108,材料與化工產業整合發展計畫(3/4),能源
108,新世代化學材料產業輔導與推廣計畫(4/4),能源
108,智能電動車輛產業推動計畫(1/4),能源
108,再生能源憑證中心及檢測驗證發展計畫(3/4),能源
108,再生能源投(融)資第三方檢測驗證中心計畫(3/4),能源
108,服務業能源管理與技術輔導計畫(2/4),能源
108,沙崙綠能科學城-綠能科技產業化技術驗證平台(2/3),能源
108,低碳排放之無機聚合綠色水泥及混凝土製備研究(4/4),能源
108,離岸風電海下工程技術研發計畫(3/4),能源
108,綠色運輸系統策略研究計畫(1/4),能源
108,自然科學研究發展計畫(1/1),能源
108,綠能科技聯合研發計畫(1/2),能源
108,循環材料之高值化(3/4),能源
108,工程科技發展綱要計畫(1/1),能源
108,科學城低碳智慧環境基礎建置-科技計畫部分(3/4),能源
108,綠能科技創新研究與服務平台計畫(3/4),能源
108,中部科學工業園區業務推展(1/1),能源
108,核能電廠安全管制法規與技術研究計畫(4/4),能源
108,原子能系統工程跨域整合發展計畫(3/4),能源
108,強化核能電廠除役管制技術及環境輻射之研究(1/4),能源
108,放射性廢棄物貯存與處置安全管制技術發展(4/4),能源
108,綠能科技深化研發與示範應用計畫(3/4),能源
108,原子能科技學術合作研究計畫(1/1),能源
108,農業綠能多元發展之整合性關鍵技術研發與推動(1/4),能源
108,洋流能關鍵技術開發與推動(1/1),能源
108,節約能源技術研發(1/3),能源
108,新及再生能源技術研發(1/3),能源
108,108年度「業界能源科技研究發展計畫」(1/1),能源
108,108年度「再生能源開發與推廣計畫」(1/1),能源
108,108年「能源效率管理與節能技術推廣輔導」(1/1),能源
109,深度減碳，邁向永續社會(4/4),能源
109,中研院南部院區鋰電池儲能系統開發與新世代全固態電池材料研發計畫(2/2),能源
109,綠色產品衡量指標擬訂與提升計畫（原計畫名稱：綠色採購躍升計畫）(2/4),能源
109,創新循環綠建築環境科技計畫(2/4),能源
109,潔能系統整合與應用人才培育計畫(3/4),能源
109,綠色循環與二氧化碳新碳源創新材料計畫(4/4),能源
109,產業創新新材料開發計畫(3/4),能源
109,綠能科技產業推動發展計畫(2/4),能源
109,能源產業技術研發暨標準檢測與產業能效提升推動計畫(2/4),能源
109,工業循環創新技術開發與應用計畫(1/4),能源
109,民生產業特用化學品開發與關鍵製程應用技術綱要計畫(3/4),能源
109,開拓創新循環新材料技術應用通路暨產業推廣計畫(1/4),能源
109,智能電動車輛產業推動計畫(2/4),能源
109,亞洲生產力組織執行計畫(2/4),能源
109,產業永續發展計畫(4/4),能源
109,工業減碳領航計畫(4/4),能源
109,材料與化工創新產業發展計畫(4/4),能源
109,區域智能防災及地下工業管線安全推動計畫(4/4),能源
109,綠能產業升級轉型推動計畫(2/4),能源
109,循環經濟創新平台計畫(1/4),能源
109,產業循環經濟創新領導計畫(2/4),能源
109,再生能源投(融)資第三方檢測驗證中心計畫(4/4),能源
109,再生能源憑證中心及檢測驗證發展計畫(4/4),能源
109,沙崙綠能科學城-綠能科技示範場域旗艦計畫(4/4),能源
109,區域性儲能設備技術示範驗證計畫(4/4),能源
109,沙崙綠能科學城-綠能科技產業化技術驗證平台(3/3),能源
109,綠色運輸系統策略研究計畫(2/4),能源
109,離岸風電海下工程技術研發計畫(4/4),能源
109,循環材料之高值化(4/4),能源
109,科學城低碳智慧環境基礎建置-科技計畫部分(4/4),能源
109,綠能科技聯合研發計畫(2/2),能源
109,綠能科技創新研究與服務平台計畫(4/4),能源
109,綠能科技深化研發與示範應用計畫(4/4),能源
109,精進放射性廢棄物貯存與處置安全管制技術發展(1/4),能源
109,原子能系統工程跨域整合發展計畫(4/4),能源
109,原子能科技學術合作研究計畫(1/1),能源
109,強化核能電廠除役管制技術及環境輻射之研究(2/4),能源
109,核子反應器設施安全與除役前期作業管制實務研究(1/4),能源
109,農業綠能多元發展之整合性關鍵技術研發與推動(2/4),能源
109,洋流能關鍵技術開發與推動(1/4),能源
109,海洋研究發展與人才培育計畫(1/4),能源
109,109年度「業界能源科技研究發展計畫」(1/1),能源
109,新及再生能源技術研發(2/3),能源
109,109年度「再生能源開發與推廣計畫」(1/1),能源
109,節約能源技術研發(2/3),能源
109,109年度「能源效率管理與節能技術推廣輔導」(1/1),能源
110,建置分散式區域規模之大型儲能系統，推動綠能產業發展計畫(1/5),能源
110,綠色產品衡量指標擬訂與提升計畫（原計畫名稱：綠色採購躍升計畫)(3/4),能源
110,營建事業廢棄物資源再利用計畫(1/4),能源
110,創新循環綠建築環境科技計畫(3/4),能源
110,潔能系統整合與應用人才培育計畫(4/4),能源
110,民生產業特用化學品開發與關鍵製程應用技術綱要計畫(4/4),能源
110,產業創新新材料開發計畫(4/4),能源
110,能源產業技術研發暨標準檢測與產業能效提升推動計畫(3/4),能源
110,綠能科技產業推動發展計畫(3/4),能源
110,工業循環創新技術開發與應用計畫(2/4),能源
110,循環經濟推動方案-循環技術暨材料創新研發平台推動計畫(1/4),能源
110,碳循環關鍵技術開發計畫(1/5),能源
110,智能電動車輛產業推動計畫(3/4),能源
110,產業永續發展計畫(1/4),能源
110,循環經濟創新領導計畫(2/4),能源
110,工業管線及產業工安推動計畫(1/4),能源
110,工業減碳創新行動計畫(1/4),能源
110,綠能產業升級轉型推動計畫(3/4),能源
110,智慧電動巴士DMIT計畫(1/5),能源
110,再生能源憑證運行與發展計畫(1/4),能源
110,國家綠能標準檢測驗證計畫(1/5),能源
110,整合智慧讀表平台發展計畫(1/4),能源
110,綠能科技示範場域營運計畫(沙崙D區) (1/4),能源
110,沙崙智慧綠能科學城技術整合及營運計畫(1/4),能源
110,海洋科技產業創新專區營運計畫(1/4),能源
110,加速全面性地熱資源探查及資訊供應計畫(1/5),能源
110,太陽能電網整合的創新天氣和電力預測(1/4),能源
110,綠色運輸系統策略研究計畫(3/4),能源
110,臺灣綠色能源港智慧環境監測技術研發(1/4),能源
110,綠能科技聯合研發計畫(1/2),能源
110,強化輻射災害應變與管制技術之研究(2/4),能源
110,精進放射性廢棄物貯存與處置安全管制技術發展(2/4),能源
110,原子能系統工程跨域整合發展計畫(第二期)(1/4),能源
110,原子能科技學術合作研究計畫(1/1),能源
110,強化核能電廠除役管制技術及環境輻射之研究(3/4),能源
110,綠能產業應用技術發展計畫(1/4),能源
110,核子反應器設施安全與除役前期作業管制實務研究計畫(2/4),能源
110,綠能發配電智慧管理與效能提升技術發展計畫(1/5),能源
110,農業綠能多元發展之整合性關鍵技術研發與推動(3/4),能源
110,洋流能關鍵技術開發與推動(2/4),能源
110,海洋研究發展與人才培育計畫(2/4),能源
110,110年度「新及再生能源技術研發」(3/3),能源
110,110年度「業界能源科技研究發展計畫」(1/1),能源
110,110年度「再生能源開發與推廣計畫」(1/1),能源
110,110年度「節約能源技術研發計畫」(3/3),能源
110,110年度｢能源效率管理與節能技術推廣輔導」(1/1),能源
110,儲能系統與智慧家庭能源管理系統標準檢測驗證能量建置計畫(1/4),能源
110,商業服務業節能低碳推動計畫(1/1),能源
年度,計畫完整中文名稱,label
103,健康資料加值應用雲端化服務計畫(3/4),資安人培與數位經濟
103,提升原住民資訊素養四年計畫(3/4),資安人培與數位經濟
103,提升新世代社群網路偵查暨鑑識能量(1/4),資安人培與數位經濟
103,警政雲端運算發展計畫(3/4)-擴增M-Police功能運用,資安人培與數位經濟
103,推動新住民資訊素養教育計畫(2/3),資安人培與數位經濟
103,個人生物特徵識別資料蒐集管理及運用建置計畫(2/2),資安人培與數位經濟
103,優質經貿網絡計畫(預報貨物資訊)(5/5),資安人培與數位經濟
103,偏鄉數位關懷推動計畫(3/4),資安人培與數位經濟
103,資訊軟體人才培育計畫(4/4),資安人培與數位經濟
103,強化個資使用稽核及公務資料外洩防護計畫(3/3),資安人培與數位經濟
103,運用科技方法建構優質司法偵查服務效能計畫(1/2),資安人培與數位經濟
103,雲端運算系統及軟體技術研發計畫(4/4),資安人培與數位經濟
103,資通安全與資料防護技術發展綱要計畫(3/3),資安人培與數位經濟
103,資訊產業應用與國際夥伴推動計畫(1/4),資安人培與數位經濟
103,亞太資訊運籌中心計畫(3/4),資安人培與數位經濟
103,產業技術標準活絡暨參與國際標準制定(2/4),資安人培與數位經濟
103,電子簽章先進應用與驗證服務計畫(4/4),資安人培與數位經濟
103,華文電子商務暨交易安全推動計畫(4/5),資安人培與數位經濟
103,電子商務雲端創新發展與基礎環境建置計畫(2/4),資安人培與數位經濟
103,供應鏈重整之物流推動計畫(2/4),資安人培與數位經濟
103,產業運籌服務化推動計畫(4/4),資安人培與數位經濟
103,中小企業資通訊加值應用計畫(3/4),資安人培與數位經濟
103,資安服務共用機制運用創新計畫(1/3),資安人培與數位經濟
103,研發環境資訊化管理暨辦公室自動化整備計畫(1/1),資安人培與數位經濟
103,資安服務暨專案管理第二期計畫(1/1),資安人培與數位經濟
103,數位機會調查評估計畫(3/4),資安人培與數位經濟
104,健康資料加值應用雲端化服務計畫(4/4),資安人培與數位經濟
104,提升原住民資訊素養四年計畫(4/4),資安人培與數位經濟
104,警政雲端運算發展計畫(4/4)-擴增M-Police功能運用,資安人培與數位經濟
104,推動新住民資訊素養教育計畫(3/3),資安人培與數位經濟
104,移民資訊雲端服務發展計畫(1/3),資安人培與數位經濟
104,優質經貿網絡計畫(預報貨物資訊)(6/6),資安人培與數位經濟
104,偏鄉數位關懷推動計畫(4/4),資安人培與數位經濟
104,資通訊軟體創新人才推升計畫(1/4),資安人培與數位經濟
104,運用科技方法建構優質司法偵查服務效能計畫(2/2),資安人培與數位經濟
104,雲端服務暨巨量資料產業發展計畫(1/4),資安人培與數位經濟
104,資訊產業應用與國際夥伴推動計畫(2/4),資安人培與數位經濟
104,政府軟體採購環境改善計畫(1/4),資安人培與數位經濟
104,產業技術標準活絡暨參與國際標準制定(3/4),資安人培與數位經濟
104,供應鏈重整之物流推動計畫(3/4),資安人培與數位經濟
104,電子商務雲端創新應用與基礎環境建置計畫(3/4),資安人培與數位經濟
104,華文電子商務暨交易安全推動計畫(5/5),資安人培與數位經濟
104,中小企業資通訊加值應用計畫(4/4),資安人培與數位經濟
104,資安服務共用機制運用創新計畫(2/3),資安人培與數位經濟
104,研發環境資訊化管理暨辦公室自動化整備計畫(1/1),資安人培與數位經濟
104,國家資通安全關鍵科技發展計畫(計畫展延至105年10月)(1/2),資安人培與數位經濟
104,國家資通安全防護整合服務計畫(1/1),資安人培與數位經濟
104,高速計算與網路應用研究計畫(1/4),資安人培與數位經濟
104,數位機會調查評估計畫(4/4),資安人培與數位經濟
105,警政雲端運算發展計畫第二期(1/4)-警政巨量資料分析與運用,資安人培與數位經濟
105,全國戶役政資訊系統集中化整體規劃計畫(1/1),資安人培與數位經濟
105,移民資訊雲端服務發展計畫(2/3),資安人培與數位經濟
105,自由經濟示範區資訊暨關務資源整合服務計畫(1/4),資安人培與數位經濟
105,普及偏鄉數位應用計畫(1/4),資安人培與數位經濟
105,資通訊軟體創新人才推升計畫(2/4),資安人培與數位經濟
105,運用科技方法，提升檢察機關服務及管理效能先期計畫(1/1),資安人培與數位經濟
105,檢察卷證數位化暨獄政假釋無紙化計畫(1/2),資安人培與數位經濟
105,善用智慧科技，提升矯正機關安全管理效能先期計畫(1/1),資安人培與數位經濟
105,法務部調查局資通訊鑑識與監察科技提升計畫(3/3)-新世代數位鑑識及通訊監察量能提升計畫,資安人培與數位經濟
105,雲端服務暨巨量資料產業發展計畫(2/4),資安人培與數位經濟
105,資訊產業應用與國際夥伴推動計畫(3/4),資安人培與數位經濟
105,政府軟體採購環境改善計畫(2/4),資安人培與數位經濟
105,產業技術標準活絡暨參與國際標準制定(4/4),資安人培與數位經濟
105,電子商務雲端創新應用與基礎環境建置計畫(4/4),資安人培與數位經濟
105,物流業創新服務推動計畫(1/4),資安人培與數位經濟
105,因應虛擬世界法規調適商業法制環境建置計畫(1/1),資安人培與數位經濟
105,電子商務兆元推升計畫(1/4),資安人培與數位經濟
105,推動中小企業智慧領航拓銷國際計畫(1/4),資安人培與數位經濟
105,資安服務共用機制運用創新計畫(3/3),資安人培與數位經濟
105,研發環境資訊化管理暨辦公室自動化整備計畫(1/1),資安人培與數位經濟
